id;creation_date;publication_date;headline;leadtext;bodytext;quote;conclusion;link_text;link_url;image;image_content_type;appuser_id;blog_id
1;2021-06-22T05:30:27;2021-06-21T23:43:08;mesh EXE Technicien;action-items;Hat;help-desk Tools Loan;magenta mission-critical Limousin;revolutionize b;Djibouti;../fake-data/blob/hipster.png;image/png;1;1
2;2021-06-22T05:59:53;2021-06-21T16:34:35;bypassing Bac;backing;payment b;PCI Home;Shoes;plum withdrawal Sleek;Checking Digitized;../fake-data/blob/hipster.png;image/png;2;2
3;2021-06-22T03:18:51;2021-06-22T02:00:45;innovative Avon transform;Technicien;XSS connecting;clicks-and-mortar Handmade;Specialiste;redefine PCI;withdrawal matrix synergize;../fake-data/blob/hipster.png;image/png;1;3
4;2021-06-21T19:12:48;2021-06-22T08:58:54;generate de connecting;du deposit;Cotton Administrateur;Awesome payment Cross-group;Optional;Manager Fantastic;bypassing Savings a;../fake-data/blob/hipster.png;image/png;2;4
5;2021-06-21T22:29:04;2021-06-22T15:27:11;Kids;copy;Bedfordshire applications;Poitou-Charentes connecting;frictionless;Ergonomic input;pricing contingency;../fake-data/blob/hipster.png;image/png;1;5
6;2021-06-21T18:39:57;2021-06-21T18:41:53;Île-de-France object-oriented;Producteur protocol;withdrawal;Berkshire Frozen;Cambridgeshire;Small Ergonomic Champagne-Ardenne;ability synthesize;../fake-data/blob/hipster.png;image/png;2;6
7;2021-06-22T16:03:26;2021-06-22T15:39:39;Venezuela;payment Corse;SMTP;Directeur microchip magenta;Gorgeous Borders Peso;Intuitive generate mindshare;Rubber;../fake-data/blob/hipster.png;image/png;2;7
8;2021-06-21T23:40:31;2021-06-22T10:17:33;array array workforce;b Executif;markets;Upgradable a recontextualize;Gambie invoice;Sainte-Lucie;Sausages Refined;../fake-data/blob/hipster.png;image/png;2;8
9;2021-06-22T04:20:16;2021-06-22T06:21:12;Pizza États-Unis;Dollar Tools;c Belize turn-key;Loan Hat Rustic;deposit Chicken;needs-based c redundant;Steel generate Lanka;../fake-data/blob/hipster.png;image/png;1;9
10;2021-06-22T08:28:56;2021-06-22T09:25:26;payment;ADP standardization capability;compelling;program Account Auvergne;synergies;impactful Account;quantify Keyboard;../fake-data/blob/hipster.png;image/png;1;10
